Hour,Size,Time,Speed
1,837,0.08889532089233398,0.07532454951267789
2,837,0.07563328742980957,0.08853244685700236
3,837,0.024007797241210938,0.2789093865098911
4,837,0.16318678855895996,0.04103273346531182
5,837,0.13309574127197266,0.05030964879873317
6,837,0.12595081329345703,0.0531636106580651
7,837,0.30400824546813965,0.022025718380397505
8,837,0.15064787864685059,0.044448020510775274
9,837,0.055672407150268555,0.12027502209355607
10,837,0.0758962631225586,0.08822568759659725
11,837,0.2981548309326172,0.022458130156922704
12,837,0.40543651580810547,0.016515532614652897
13,837,0.15653562545776367,0.042776204971990285
14,837,0.09081029891967773,0.07373612992864007
15,837,0.10426139831542969,0.06422319389715164
16,837,0.016607284545898438,0.403196560009188
17,837,0.08333659172058105,0.08034885830765666
18,837,0.07044672966003418,0.09505054432354683
19,837,0.09727048873901367,0.06883896736620733
20,837,0.09743809700012207,0.06872055393273548
21,837,0.08302736282348633,0.08064811132488327
22,837,0.03350830078125,0.1998310819672131
23,837,0.027039527893066406,0.24763745973971008
24,837,0.020765066146850586,0.3224646602445605
